id,object,area,perimeter,height,width,dist
71,coin,5,5,4.0,0.0,72
54,converter,153,58,17.0,12.0,22373
53,converter,154,56,10.0,18.0,22474
52,converter,158,52,9.0,17.0,23290
51,converter,161,57,18.0,11.0,24616
50,converter,163,58,11.0,18.0,25313
49,converter,164,58,18.0,11.0,25618
48,converter,166,59,18.0,12.0,26329
47,converter,166,62,12.0,18.0,26626
46,converter,168,62,18.0,12.0,27250
44,converter,169,62,14.0,18.0,27565
45,converter,170,59,19.0,11.0,27585
43,converter,171,62,12.0,18.0,28201
42,converter,172,64,14.0,18.0,28730
41,converter,174,60,12.0,18.0,28970
40,converter,175,60,11.0,18.0,29297
38,converter,178,67,18.0,16.0,31025
39,converter,181,58,10.0,19.0,31109
36,converter,180,66,14.0,19.0,31586
37,converter,183,56,10.0,18.0,31609
35,converter,184,62,13.0,18.0,32530
33,converter,193,58,10.0,19.0,35333
29,coin,416,88,22.0,22.0,169954
27,coin,422,90,22.0,23.0,175162
25,coin,443,92,23.0,23.0,193185
24,coin,451,90,23.0,22.0,199841
23,coin,455,92,23.0,23.0,203697
22,coin,460,92,23.0,23.0,208162
21,coin,468,94,24.0,23.0,215738
20,coin,469,94,23.0,24.0,216653
19,coin,474,96,24.0,24.0,221594
18,coin,478,94,24.0,23.0,224978
16,coin,478,94,23.0,24.0,224978
17,coin,478,94,23.0,24.0,224978
15,coin,482,94,24.0,23.0,228730
13,coin,483,96,24.0,24.0,230009
14,coin,484,94,23.0,24.0,230618
12,coin,486,94,24.0,23.0,232514
7,coin,511,98,25.0,24.0,257569
9,coin,511,98,25.0,24.0,257569
8,coin,511,98,25.0,24.0,257569
6,coin,512,100,25.0,25.0,258922
121,peg,632,234,54.0,35.0,435370
0,peg,685,245,54.0,37.0,509032
1,peg,692,247,52.0,51.0,519457
2,peg,705,225,33.0,57.0,527432
3,peg,752,225,34.0,58.0,594877
4,peg,768,241,60.0,38.0,625949
5,peg,785,242,58.0,37.0,652437
10,peg,820,245,58.0,48.0,709237
11,peg,831,247,59.0,37.0,728096
26,peg,876,253,57.0,37.0,806789
28,peg,889,263,51.0,61.0,834388
30,peg,916,253,60.0,39.0,877589
31,peg,992,274,62.0,54.0,1031530
32,peg,1104,256,61.0,48.0,1254674
34,peg,1109,248,59.0,39.0,1261773
55,peg,1164,240,58.0,40.0,1381850
56,peg,1171,236,39.0,61.0,1396225
58,peg,1213,232,60.0,38.0,1493645
57,pen,1208,282,126.0,10.0,1506250
59,pen,1229,280,124.0,15.0,1555885
60,pen,1219,357,76.0,103.0,1578980
63,pen,1243,288,125.0,12.0,1594553
62,pen,1238,310,30.0,123.0,1594930
61,pen,1226,365,91.0,92.0,1601541
64,pen,1248,290,20.0,125.0,1608010
67,peg,1263,243,62.0,41.0,1621328
65,pen,1254,288,21.0,122.0,1621778
66,pen,1243,364,97.0,85.0,1642433
68,pen,1269,288,127.0,11.0,1659293
69,pen,1273,364,96.0,86.0,1717253
70,pen,1279,362,106.0,75.0,1731025
72,pen,1300,356,112.0,66.0,1780546
74,peg,1342,239,59.0,42.0,1823545
73,pen,1331,304,127.0,20.0,1828249
75,pen,1344,284,126.0,14.0,1851418
76,pen,1368,321,33.0,125.0,1937549
78,pen,1378,301,127.0,22.0,1952789
77,pen,1370,358,109.0,70.0,1967290
79,pen,1380,374,88.0,99.0,2005930
80,pen,1395,369,76.0,109.0,2043620
81,vitamin,1982,326,86.0,77.0,3984066
82,vitamin,2010,326,84.0,79.0,4095226
83,vitamin,2040,256,97.0,31.0,4176866
84,vitamin,2046,308,94.0,60.0,4229434
85,vitamin,2058,309,93.0,62.0,4279013
86,vitamin,2066,262,98.0,33.0,4286026
87,vitamin,2067,328,77.0,87.0,4327625
88,vitamin,2075,272,98.0,38.0,4328217
90,vitamin,2079,244,97.0,24.0,4330913
89,vitamin,2077,284,97.0,45.0,4342885
92,vitamin,2088,292,97.0,49.0,4392890
91,vitamin,2084,327,77.0,87.0,4397185
93,vitamin,2119,252,28.0,98.0,4501745
94,vitamin,2120,303,53.0,99.0,4533145
96,vitamin,2144,250,26.0,98.0,4606810
95,vitamin,2135,335,79.0,89.0,4616352
97,vitamin,2167,252,25.0,98.0,4706417
98,vitamin,2181,330,75.0,90.0,4810661
99,vitamin,2181,337,87.0,82.0,4815176
100,vitamin,2228,330,95.0,70.0,5016850
101,card,3448,272,80.0,55.0,11881090
102,card,3652,282,83.0,58.0,13330322
104,card,3685,262,52.0,79.0,13561277
103,card,3683,330,86.0,79.0,13585345
105,card,3735,253,77.0,49.0,13926740
106,card,3764,337,88.0,81.0,14191285
107,card,3770,282,58.0,83.0,14203522
108,card,3778,256,50.0,78.0,14250314
109,card,3817,319,72.0,88.0,14580500
110,card,3868,270,81.0,54.0,14943530
111,card,3895,340,82.0,88.0,15193697
112,card,3906,256,79.0,49.0,15231050
113,card,3929,348,86.0,88.0,15464293
114,card,3942,266,81.0,52.0,15517786
115,card,3944,282,83.0,58.0,15541930
116,card,3985,284,84.0,58.0,15867205
117,card,4023,316,89.0,69.0,16189169
118,card,4073,338,91.0,78.0,16606773
119,card,4083,298,86.0,63.0,16663553
120,card,4132,324,90.0,72.0,17080610
