id,object,area,perimeter,height,width,dist,formfactor,aspect_ratio
154,vitamin,2040,256,97.0,31.0,0.0014158045629289915,0.3911651009108385,0.31958762886597936
157,vitamin,2066,262,98.0,33.0,0.0035072823752257264,0.3782139981537505,0.33673469387755106
159,vitamin,2075,272,98.0,38.0,0.0050501472994143185,0.3524440287737252,0.3877551020408163
160,vitamin,2077,284,97.0,45.0,0.007348913118506131,0.3236008699417774,0.4639175257731959
161,vitamin,2079,244,97.0,24.0,0.009504551937108719,0.4388182697402029,0.24742268041237114
163,vitamin,2088,292,97.0,49.0,0.010832138764468579,0.30773341436927604,0.5051546391752577
155,vitamin,2046,308,94.0,60.0,0.011937126557611387,0.2710279376473569,0.6382978723404256
156,vitamin,2058,309,93.0,62.0,0.013052275415891068,0.27085588467183186,0.6666666666666666
165,vitamin,2119,252,28.0,98.0,0.01468093544857619,0.4193143633759619,3.5
153,vitamin,2010,326,84.0,79.0,0.018347402768130343,0.23766800533386595,0.9404761904761904
164,vitamin,2120,303,53.0,99.0,0.019643407535169,0.2901753172612864,1.8679245283018868
152,vitamin,1982,326,86.0,77.0,0.019871056460198072,0.2343572072496131,0.8953488372093024
158,vitamin,2067,328,77.0,87.0,0.020931990086765433,0.24143634796884675,1.12987012987013
167,vitamin,2144,250,26.0,98.0,0.02213177205593779,0.431076777554977,3.7692307692307687
162,vitamin,2084,327,77.0,87.0,0.02235763364711978,0.24491313264244985,1.12987012987013
169,vitamin,2167,252,25.0,98.0,0.028705319047984817,0.4288127538630059,3.92
166,vitamin,2135,335,79.0,89.0,0.03434567971076012,0.23906617297087845,1.1265822784810129
170,vitamin,2181,330,75.0,90.0,0.04501730377629848,0.2516735932958435,1.2
171,vitamin,2181,337,87.0,82.0,0.047636820857565806,0.2413268965115248,0.9425287356321842
172,vitamin,2228,330,95.0,70.0,0.06229474238229224,0.2570970957648507,0.7368421052631579
150,psu,1741,260,66.0,45.0,0.07320106049859418,0.32363981123667634,0.6818181818181818
149,psu,1739,264,67.0,46.0,0.07536914589449965,0.3135462364894772,0.6865671641791045
148,psu,1721,276,58.0,63.0,0.08974954900661779,0.28390469212497554,1.0862068965517242
147,psu,1704,220,62.0,33.0,0.0966159213460347,0.4424193290675213,0.532258064516129
146,psu,1703,272,64.0,55.0,0.0994432143668289,0.2892588824104356,0.859375
145,psu,1680,261,54.0,63.0,0.11092015024043757,0.3099118132752515,1.1666666666666667
144,psu,1671,230,64.0,37.0,0.11346520013023649,0.3969452797087745,0.578125
142,psu,1667,238,65.0,39.0,0.11561066924032093,0.3698209839371644,0.6
143,psu,1669,250,65.0,44.0,0.11565137547710036,0.3355723608858473,0.676923076923077
141,psu,1659,254,65.0,44.0,0.12359888070397938,0.3231385834401058,0.676923076923077
139,psu,1647,240,63.0,40.0,0.1297895496869655,0.3593196597543326,0.6349206349206349
140,psu,1652,268,64.0,53.0,0.13308981300724923,0.2890349222393817,0.828125
136,psu,1626,221,34.0,62.0,0.14721023682034223,0.4183558612425629,1.8235294117647056
135,psu,1624,254,65.0,44.0,0.1499113844892056,0.31632131374727657,0.676923076923077
134,psu,1614,263,47.0,65.0,0.16082689989863289,0.29322560932752684,1.3829787234042554
133,psu,1596,245,40.0,64.0,0.17043896927452554,0.3341262390756725,1.6
128,pen,1378,301,127.0,22.0,0.4287499259396892,0.19112878121198373,0.1732283464566929
131,pen,1395,369,76.0,109.0,0.43424705077086834,0.1287452868811998,1.4342105263157894
127,pen,1368,321,33.0,125.0,0.45086123886157536,0.16683451247991915,3.787878787878788
130,pen,1380,374,88.0,99.0,0.45518431606934706,0.1239783197104268,1.125
129,pen,1370,358,109.0,70.0,0.4627753546253975,0.13432732859205446,0.6422018348623854
126,pen,1344,284,126.0,14.0,0.4663632200722229,0.20939796302443373,0.1111111111111111
125,pen,1331,304,127.0,20.0,0.4938796113266811,0.1809842374449452,0.15748031496062992
123,pen,1300,356,112.0,66.0,0.5594764249327963,0.12890008994024527,0.5892857142857143
120,pen,1269,288,127.0,11.0,0.5773429242899991,0.1922589254150004,0.08661417322834647
122,pen,1279,362,106.0,75.0,0.5927034795505355,0.12264878983978955,0.7075471698113207
118,pen,1254,288,21.0,122.0,0.6005349772853394,0.1899863612847994,5.809523809523809
121,pen,1273,364,96.0,86.0,0.6024373910742223,0.12073564328039507,0.8958333333333334
117,pen,1248,290,20.0,125.0,0.6109039184654234,0.18647836535933707,6.25
116,pen,1243,288,125.0,12.0,0.6178350475292539,0.18831981425598526,0.096
115,pen,1238,310,30.0,123.0,0.6359673581355125,0.16188519064075604,4.1
112,pen,1229,280,124.0,15.0,0.6362940414250051,0.1969906822072376,0.12096774193548387
108,peg,1213,232,60.0,38.0,0.6385155687271048,0.28320094298487064,0.6333333333333333
119,pen,1243,364,97.0,85.0,0.6488215204712526,0.11789034139633235,0.8762886597938144
109,pen,1208,282,126.0,10.0,0.6715976157083408,0.19088797975637392,0.07936507936507936
114,pen,1226,365,91.0,92.0,0.6762392511372667,0.11564173671010955,1.010989010989011
113,pen,1219,357,76.0,103.0,0.6848998447200085,0.12019243602463595,1.3552631578947372
107,peg,1171,236,39.0,61.0,0.7107511412619917,0.2642060469228417,1.5641025641025639
106,peg,1164,240,58.0,40.0,0.7248438061752952,0.2539454061651749,0.6896551724137931
102,peg,1109,248,59.0,39.0,0.8278658890835413,0.226588596047807,0.6610169491525424
101,peg,1104,256,61.0,48.0,0.8414583194130268,0.21168934872821848,0.7868852459016393
97,peg,992,274,62.0,54.0,1.0730923942400457,0.16604293848159596,0.8709677419354839
95,peg,916,253,60.0,39.0,1.2276290645677566,0.1798308906990111,0.65
94,peg,889,263,51.0,61.0,1.2946888691921363,0.16151026436937507,1.196078431372549
93,peg,876,253,57.0,37.0,1.319605971007325,0.1719780133759102,0.6491228070175439
90,tear,846,206,70.0,33.0,1.3629432803675128,0.2505219516388882,0.4714285714285714
92,tear,840,232,57.0,59.0,1.3932078392212714,0.1961160693382452,1.0350877192982455
89,tear,836,226,68.0,45.0,1.399265083999113,0.20568340969543952,0.6617647058823529
82,tear,820,184,75.0,13.0,1.4136924029167954,0.30436034687424746,0.17333333333333334
87,tear,827,221,71.0,39.0,1.4180984476305665,0.21278001060737972,0.5492957746478874
86,tear,823,214,68.0,38.0,1.423540651994172,0.2258302693601537,0.5588235294117647
91,peg,831,247,59.0,37.0,1.4237483201705399,0.17116579489144998,0.6271186440677966
